PNsymbol,S11.3,OIhipster,OmniOS
SUNWlibms,system/library/math,system/library/math,system/library/math
SUNWlibmusicbrainz_devel,__NOMATCH__,__NOMATCH__,__NOMATCH__
SUNWliboil,library/liboil,library/liboil,library/liboil
SUNWlibpopt,library/popt,library/popt,SFElibpopt-devel
SUNWlibpopt_devel,library/popt,library/popt,SFElibpopt-devel
SUNWlibrsvg,image/library/librsvg,image/library/librsvg,image/library/librsvg
SUNWlibsasl,system/library/security/libsasl,system/library/security/libsasl,system/library/security/libsasl
SUNWlibsdl,library/sdl,library/sdl,library/sdl
SUNWlibsdl_devel,library/sdl,library/sdl,library/sdl
SUNWlibstdcxx4,library/c++/stdcxx,library/c++/stdcxx,library/c++/stdcxx
SUNWlibtheora,codec/libtheora,codec/libtheora,codec/libtheora
SUNWlibtheora_devel,codec/libtheora,codec/libtheora,codec/libtheora
SUNWlibtool,developer/build/libtool,developer/build/libtool,developer/build/libtool
SUNWlibtool_devel,developer/build/libtool,developer/build/libtool,developer/build/libtool
SUNWltdl,library/libtool/libltdl,library/libtool/libltdl,library/libtool/libltdl
SUNWltdl_devel,library/libtool/libltdl,library/libtool/libltdl,library/libtool/libltdl
SUNWlua,runtime/lua,runtime/lua,runtime/lua
SUNWlxml,library/libxml2,library/libxml2,library/libxml2
SUNWlxml_devel,library/libxml2,library/libxml2,library/libxml2
SUNWlxsl,library/libxslt,library/libxslt,library/libxslt
SUNWlxsl_devel,library/libxslt,library/libxslt,library/libxslt
SUNWmercurial,developer/versioning/mercurial,developer/versioning/mercurial,developer/versioning/mercurial
SUNWmlib,library/medialib,library/medialib,library/medialib
SUNWmtx,media/mtx,media/mtx,media/mtx
SUNWmusicbrainz,library/musicbrainz/libmusicbrainz,library/musicbrainz/libmusicbrainz,library/musicbrainz/libmusicbrainz
SUNWmusicbrainz_devel,library/musicbrainz/libmusicbrainz,library/musicbrainz/libmusicbrainz,library/musicbrainz/libmusicbrainz
SUNWncurses,library/ncurses,library/ncurses,library/ncurses
SUNWncurses_devel,library/ncurses,library/ncurses,library/ncurses
SUNWntp,service/network/ntp,service/network/ntp,service/network/ntp
SUNWntp_devel,service/network/ntp,service/network/ntp,service/network/ntp
SUNWogg_vorbis,codec/ogg-vorbis,codec/ogg-vorbis,codec/ogg-vorbis
SUNWogg_vorbis_devel,codec/ogg-vorbis,codec/ogg-vorbis,codec/ogg-vorbis
SUNWonbld,developer/build/onbld,developer/build/onbld,developer/build/onbld
SUNWopenssl,library/security/openssl,library/security/openssl,library/security/openssl
SUNWopenssl_devel,library/security/openssl,library/security/openssl,library/security/openssl
SUNWopenssl_fips_140,library/security/openssl/openssl-fips-140,library/security/openssl/openssl-fips-140,library/security/openssl/openssl-fips-140
SUNWopenssl_fips_140_devel,library/security/openssl/openssl-fips-140,library/security/openssl/openssl-fips-140,library/security/openssl/openssl-fips-140
SUNWopenssl_include,library/security/openssl,library/security/openssl,library/security/openssl
SUNWopenssl_libraries,library/security/openssl,library/security/openssl,library/security/openssl
SUNWpango,library/desktop/pango,library/desktop/pango,library/desktop/pango
SUNWpango_devel,library/desktop/pango,library/desktop/pango,library/desktop/pango
SUNWpcre,library/pcre,library/pcre,library/pcre
SUNWpcre_devel,library/pcre,library/pcre,library/pcre
SUNWphp52,web/php-52,web/php-52,web/php-52
SUNWphp52_mysql,web/php-52/extension/php-mysql,web/php-52/extension/php-mysql,web/php-52/extension/php-mysql
SUNWpr,library/nspr,library/nspr,library/nspr
SUNWpysqlite,runtime/python-27,runtime/python-27,runtime/python-26
